legacy_url,resource_type,disposition,target_url,index_control_needed,implementation_layer,header_control_possible,owner
/wp-content/uploads/2023/01/accreditations-vs-certifications.png,media,redirect,/media/2023/accreditations-vs-certifications-7c6224e505.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/01/ocapi-settings-with-cache.png,media,redirect,/media/2023/ocapi-settings-with-cache-f7e7acfcf8.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/01/order-of-execution-simplified-apex-api-v56.0.png,media,redirect,/media/2023/order-of-execution-simplified-apex-api-v56-0-23130ad657.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/01/page-designer-structure-oldv2-753x1024.jpeg,media,redirect,/media/2023/page-designer-structure-oldv2-56ca8ab276.jpeg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/01/partner-benefits.png,media,redirect,/media/2023/partner-benefits-0de8d66c3b.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/01/react-js-768x384.jpg,media,retire,null,no,none,no,seo-owner
/wp-content/uploads/2023/01/salesforce-credentials-vouchers-personv2.jpeg,media,redirect,/media/2023/salesforce-credentials-vouchers-personv2-bf4ee67f38.jpeg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/02/bearer-token-authorization-header.png,media,redirect,/media/2023/bearer-token-authorization-header-e377c64b9c.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/02/campaign-store-groups-sfcc.png,media,redirect,/media/2023/campaign-store-groups-sfcc-1a646a927d.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/02/salesforce-b2c-commerce-cloud-diagram-campaign-erd.png,media,redirect,/media/2023/salesforce-b2c-commerce-cloud-diagram-campaign-erd-4b241c1470.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/02/salesforce-b2c-commerce-cloud-diagram-content-erd-1.png,media,redirect,/media/2023/salesforce-b2c-commerce-cloud-diagram-content-erd-1-9255609590.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/02/salesforce-b2c-commerce-cloud-diagram-customer-erd.png,media,redirect,/media/2023/salesforce-b2c-commerce-cloud-diagram-customer-erd-0511da2fc0.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/02/salesforce-b2c-commerce-cloud-diagram-product-catalog-erd-1.png,media,redirect,/media/2023/salesforce-b2c-commerce-cloud-diagram-product-catalog-erd-1-786d548825.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/03/salesforce-b2c-commerce-cloud-diagram-basket-order-erdv2.png,media,redirect,/media/2023/salesforce-b2c-commerce-cloud-diagram-basket-order-erdv2-3a4ba08328.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/03/sfcc-content-assets-with-ai.jpg,media,redirect,/media/2023/sfcc-content-assets-with-ai-8805d0d3cd.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/04/ocapi-expand-parameter-caching.jpg,media,redirect,/media/2023/ocapi-expand-parameter-caching-c91c7001dd.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/04/pod-realm-and-instances-transparent.png,media,redirect,/media/2023/pod-realm-and-instances-transparent-65c6b4e389.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/05/b2c-commerce-cloud-roll-your-own.jpg,media,redirect,/media/2023/b2c-commerce-cloud-roll-your-own-b16dfb6a8d.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/05/managed-runtime-projects-environments.png,media,redirect,/media/2023/managed-runtime-projects-environments-ba31af2d92.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/05/ocapi-and-scapi-performance-reports.jpg,media,redirect,/media/2023/ocapi-and-scapi-performance-reports-f411be08a3.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/05/salesforce-commerce-cloud-managed-runtime.jpg,media,redirect,/media/2023/salesforce-commerce-cloud-managed-runtime-e2b922960d.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/06/composable-storefront-architecture-scaled.jpg,media,retire,null,no,none,no,migration-engineer
/wp-content/uploads/2023/07/generating-a-post-image.jpg,media,redirect,/media/2023/generating-a-post-image-51933457be.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/07/generating-a-post-title.jpg,media,redirect,/media/2023/generating-a-post-title-36528f6a0f.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/07/github-copilot-react.jpg,media,redirect,/media/2023/github-copilot-react-e4aab607d7.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/07/grammarly-and-content.jpg,media,redirect,/media/2023/grammarly-and-content-cf057efe86.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/10/2d9abc21-7f77-4b94-81a5-07f15a0c28d3.pdf,pdf,keep,null,no,pages-static,no,seo-owner
/wp-content/uploads/2023/10/ecdn-renewable-certificates.png,media,redirect,/media/2023/ecdn-renewable-certificates-ae09665c51.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/11/B2C-Commerce-Variation-Group-Guide.pdf,pdf,keep,null,no,pages-static,no,seo-owner
/wp-content/uploads/2023/11/base-variation-group-variant-explained.png,media,redirect,/media/2023/base-variation-group-variant-explained-ed19da17b7.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/11/job-import-generic-mapping.jpg,media,redirect,/media/2023/job-import-generic-mapping-2cce4b36aa.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/11/variations-quota-limit-sfcc.png,media,redirect,/media/2023/variations-quota-limit-sfcc-00862ef947.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2023/12/configure-chunk-job-business-manager-scaled.jpg,media,retire,null,no,none,no,migration-engineer
/wp-content/uploads/2023/12/quota-limit-warning-scaled.jpg,media,retire,null,no,none,no,migration-engineer
/wp-content/uploads/2024/01/locale-fallback-en-uk.png,media,redirect,/media/2024/locale-fallback-en-uk-bd32fc597d.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2024/01/sfcc-localisation-config.jpg,media,redirect,/media/2024/sfcc-localisation-config-e5d2f27043.jpg,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2024/02/javascript-and-css-scoping-in-sfra-2.png,media,redirect,/media/2024/javascript-and-css-scoping-in-sfra-2-5444adf22e.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2024/02/package-json-changes-7.0.0.png,media,redirect,/media/2024/package-json-changes-7-0-0-cecd2c2e2d.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2024/02/partioned-cookies-in-sfcc.png,media,redirect,/media/2024/partioned-cookies-in-sfcc-cb426ac0c4.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2024/02/webdav-client-application-permissions.png,media,redirect,/media/2024/webdav-client-application-permissions-8757d150cc.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2024/02/webdav-role-permissions.png,media,redirect,/media/2024/webdav-role-permissions-7d3baef818.png,no,edge-cdn,yes,engineering-owner
/wp-content/uploads/2024/04/images-in-sfcc-page-designer-1024x512.png,media,redirect,/media/2024/images-in-sfcc-page-designer-2ae797ab98.png,no,edge-cdn,yes,engineering-owner
