check_group,route,target_url,artifact,status,actual_outcome,notes
sitemap-url,/helpful-salesforce-b2c-commerce-cloud-cartridges/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/a-new-commerce-cloud-community-in-town/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/inside-the-ohana/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/category/podcasts/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/category/video/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/life-with-goldie/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/headless/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/the-path-to-being-an-architect/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/me-myself-and-headless-a-composable-commerce-cloud-story/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/category/sessions/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/connecting-the-clouds-wedding-or-funeral/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/a-look-back-at-origin-shielding/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/lets-go-live-seo/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/the-deprecation-of-the-uuid-token-for-api-clients/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/20-years-of-dreamforce/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/the-salesforce-b2c-commerce-cloud-environment/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/salesforce-b2c-commerce-cloud-22-9-release/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/what-is-the-ocapi-session-bridge/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
