scope,file,url,sampleGroup,check,status,severity,message,expected,actual
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-cloud-catalog-erd.md,/salesforce-b2c-commerce-cloud-catalog-erd/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-cloud-content-erd.md,/salesforce-b2c-commerce-cloud-content-erd/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-cloud-customer-erd.md,/salesforce-b2c-commerce-cloud-customer-erd/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-cloud-documentation.md,/salesforce-b2c-commerce-cloud-documentation/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/pages/salesforce-b2c-commerce-cloud-erd.md,/salesforce-b2c-commerce-cloud-erd/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-cloud-governance-and-quotas.md,/salesforce-b2c-commerce-cloud-governance-and-quotas/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-cloud-november-2022-updates.md,/salesforce-b2c-commerce-cloud-november-2022-updates/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-cloud-october-updates.md,/salesforce-b2c-commerce-cloud-october-updates/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-cloud-the-22-7-release.md,/salesforce-b2c-commerce-cloud-the-22-7-release/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-the-22-5-release.md,/salesforce-b2c-commerce-the-22-5-release/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-b2c-commerce-the-22-6-release.md,/salesforce-b2c-commerce-the-22-6-release/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-commerce-cloud-products.md,/salesforce-commerce-cloud-products/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/salesforce-connections-2024-and-sfcc.md,/salesforce-connections-2024-and-sfcc/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/secure-coding-in-salesforce-b2c-commerce-cloud.md,/secure-coding-in-salesforce-b2c-commerce-cloud/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/sfcc-24-1-release-a-new-year-update.md,/sfcc-24-1-release-a-new-year-update/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/sfcc-basket-order-erd.md,/sfcc-basket-order-erd/,,page_frontmatter,pass,none,Required front matter checks passed.,,
rendered,tmp/rhi039-public/sfcc-introduction/index.html,/sfcc-introduction/,video,canonical_matches_target,pass,none,Rendered canonical matches the expected target URL.,https://www.rhino-inquisitor.com/sfcc-introduction/,https://www.rhino-inquisitor.com/sfcc-introduction/
rendered,tmp/rhi039-public/sfcc-introduction/index.html,/sfcc-introduction/,video,internal_links_canonical,pass,none,Sampled internal links resolve to canonical or valid in-build targets.,canonical internal links,
rendered,tmp/rhi039-public/sfcc-introduction/index.html,/sfcc-introduction/,video,sitemap_contains_route,pass,none,Sampled route is present in sitemap.xml.,/sfcc-introduction/,/sfcc-introduction/
frontmatter,migration/output/content/posts/sfcc-url-cracking-the-code.md,/sfcc-url-cracking-the-code/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/should-i-get-javascript-developer-i-certified.md,/should-i-get-javascript-developer-i-certified/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/simplifying-the-salesforce-order-of-execution.md,/simplifying-the-salesforce-order-of-execution/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/sitegenesis-vs-sfra-vs-pwa.md,/sitegenesis-vs-sfra-vs-pwa/,,page_frontmatter,pass,none,Required front matter checks passed.,,
rendered,tmp/rhi039-public/sitegenesis-vs-sfra-vs-pwa/index.html,/sitegenesis-vs-sfra-vs-pwa/,top_traffic,canonical_matches_target,pass,none,Rendered canonical matches the expected target URL.,https://www.rhino-inquisitor.com/sitegenesis-vs-sfra-vs-pwa/,https://www.rhino-inquisitor.com/sitegenesis-vs-sfra-vs-pwa/
rendered,tmp/rhi039-public/sitegenesis-vs-sfra-vs-pwa/index.html,/sitegenesis-vs-sfra-vs-pwa/,top_traffic,internal_links_canonical,pass,none,Sampled internal links resolve to canonical or valid in-build targets.,canonical internal links,
rendered,tmp/rhi039-public/sitegenesis-vs-sfra-vs-pwa/index.html,/sitegenesis-vs-sfra-vs-pwa/,top_traffic,sitemap_contains_route,pass,none,Sampled route is present in sitemap.xml.,/sitegenesis-vs-sfra-vs-pwa/,/sitegenesis-vs-sfra-vs-pwa/
frontmatter,migration/output/content/posts/slicing-versus-variation-groups-in-sfcc.md,/slicing-versus-variation-groups-in-sfcc/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/storefront-protection-in-the-pwa-kit.md,/storefront-protection-in-the-pwa-kit/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/submitting-a-file-to-a-third-party-service-in-sfcc.md,/submitting-a-file-to-a-third-party-service-in-sfcc/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/pages/swc-and-storybook-error-failed-to-load-native-binding.md,/swc-and-storybook-error-failed-to-load-native-binding/,,page_frontmatter,pass,none,Required front matter checks passed.,,
rendered,tmp/rhi039-public/swc-and-storybook-error-failed-to-load-native-binding/index.html,/swc-and-storybook-error-failed-to-load-native-binding/,top_traffic,canonical_matches_target,pass,none,Rendered canonical matches the expected target URL.,https://www.rhino-inquisitor.com/swc-and-storybook-error-failed-to-load-native-binding/,https://www.rhino-inquisitor.com/swc-and-storybook-error-failed-to-load-native-binding/
rendered,tmp/rhi039-public/swc-and-storybook-error-failed-to-load-native-binding/index.html,/swc-and-storybook-error-failed-to-load-native-binding/,top_traffic,internal_links_canonical,pass,none,Sampled internal links resolve to canonical or valid in-build targets.,canonical internal links,
rendered,tmp/rhi039-public/swc-and-storybook-error-failed-to-load-native-binding/index.html,/swc-and-storybook-error-failed-to-load-native-binding/,top_traffic,sitemap_contains_route,pass,none,Sampled route is present in sitemap.xml.,/swc-and-storybook-error-failed-to-load-native-binding/,/swc-and-storybook-error-failed-to-load-native-binding/
frontmatter,migration/output/content/posts/the-deprecation-of-the-uuid-token-for-api-clients.md,/the-deprecation-of-the-uuid-token-for-api-clients/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/the-journey-from-developer-to-architect.md,/the-journey-from-developer-to-architect/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/the-move-from-on-site-to-remote.md,/the-move-from-on-site-to-remote/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/pages/the-path-to-being-an-architect.md,/the-path-to-being-an-architect/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/the-salesforce-b2c-commerce-cloud-environment.md,/the-salesforce-b2c-commerce-cloud-environment/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/the-sfcc-guide-to-finding-pod-numbers.md,/the-sfcc-guide-to-finding-pod-numbers/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/the-state-of-ohana-for-salesforce-commerce-cloud.md,/the-state-of-ohana-for-salesforce-commerce-cloud/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/the-sunsetting-of-arc300-architect-b2c-commerce-solutions.md,/the-sunsetting-of-arc300-architect-b2c-commerce-solutions/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/third-party-api-caching-in-commerce-cloud.md,/third-party-api-caching-in-commerce-cloud/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/trailblazerdx-2022-for-b2c-commerce.md,/trailblazerdx-2022-for-b2c-commerce/,,page_frontmatter,pass,none,Required front matter checks passed.,,
rendered,tmp/rhi039-public/understanding-sfcc-instances/index.html,/understanding-sfcc-instances/,top_traffic,canonical_matches_target,pass,none,Rendered canonical matches the expected target URL.,https://www.rhino-inquisitor.com/understanding-sfcc-instances/,https://www.rhino-inquisitor.com/understanding-sfcc-instances/
rendered,tmp/rhi039-public/understanding-sfcc-instances/index.html,/understanding-sfcc-instances/,top_traffic,internal_links_canonical,pass,none,Sampled internal links resolve to canonical or valid in-build targets.,canonical internal links,
rendered,tmp/rhi039-public/understanding-sfcc-instances/index.html,/understanding-sfcc-instances/,top_traffic,sitemap_contains_route,pass,none,Sampled route is present in sitemap.xml.,/understanding-sfcc-instances/,/understanding-sfcc-instances/
frontmatter,migration/output/content/posts/unravelling-the-mystery-of-dates-in-the-ocapi.md,/unravelling-the-mystery-of-dates-in-the-ocapi/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/pages/versioning-of-content-assets.md,/versioning-of-content-assets/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/pages/video.md,/video/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/what-can-i-use-chatgpt-for-when-working-with-salesforce.md,/what-can-i-use-chatgpt-for-when-working-with-salesforce/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/what-is-commerce-on-core.md,/what-is-commerce-on-core/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/what-is-new-in-sfcc-24-6.md,/what-is-new-in-sfcc-24-6/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/what-is-new-in-the-23-8-commerce-cloud-release.md,/what-is-new-in-the-23-8-commerce-cloud-release/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/what-is-oci-omnichannel-inventory.md,/what-is-oci-omnichannel-inventory/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/what-is-the-ocapi-session-bridge.md,/what-is-the-ocapi-session-bridge/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/what-is-the-sfcc-managed-runtime.md,/what-is-the-sfcc-managed-runtime/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/where-is-the-new-sfcc-documentation.md,/where-is-the-new-sfcc-documentation/,,page_frontmatter,pass,none,Required front matter checks passed.,,
frontmatter,migration/output/content/posts/where-to-hook-into-an-sfra-controller.md,/where-to-hook-into-an-sfra-controller/,,page_frontmatter,pass,none,Required front matter checks passed.,,
