legacy_url,route_class,disposition,target_url,outcome_verified,http_status,notes
/tag/sfcc/page/7/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfcc/page/8/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sfra/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/sftp/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/slack/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/slas/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/technical/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/technical/page/11/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/technical/page/2/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/technical/page/3/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/technical/page/4/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/technical/page/5/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/technical/page/6/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/technical/page/7/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/technical/page/9/,pagination,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/tag/twitter/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/taming-the-beast-a-developers-deep-dive-into-sfcc-meta-tag-rules/,post,keep,/taming-the-beast-a-developers-deep-dive-into-sfcc-meta-tag-rules/,yes,200,Published keep route verified at taming-the-beast-a-developers-deep-dive-into-sfcc-meta-tag-rules/index.html.
/terms-and-conditions/,page,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/terms-of-service/,page,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/the-attribute-fallback-system-in-sfcc/,post,keep,/the-attribute-fallback-system-in-sfcc/,yes,200,Published keep route verified at the-attribute-fallback-system-in-sfcc/index.html.
/the-b2c-commerce-architect-certification/,post,keep,/the-b2c-commerce-architect-certification/,yes,200,Published keep route verified at the-b2c-commerce-architect-certification/index.html.
/the-createorders-api-in-sfcc/,post,keep,/the-createorders-api-in-sfcc/,yes,200,Published keep route verified at the-createorders-api-in-sfcc/index.html.
/the-deprecation-of-the-uuid-token-for-api-clients/,post,keep,/the-deprecation-of-the-uuid-token-for-api-clients/,yes,200,Published keep route verified at the-deprecation-of-the-uuid-token-for-api-clients/index.html.
/the-deprecation-of-the-uuid-token-for-api-clients/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/the-importance-of-origin-shielding/,post,keep,/the-importance-of-origin-shielding/,yes,200,Published keep route verified at the-importance-of-origin-shielding/index.html.
/the-journey-from-developer-to-architect/,post,keep,/the-journey-from-developer-to-architect/,yes,200,Published keep route verified at the-journey-from-developer-to-architect/index.html.
/the-journey-from-developer-to-architect/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/the-latest-in-sfcc-version-24-7/,post,keep,/the-latest-in-sfcc-version-24-7/,yes,200,Published keep route verified at the-latest-in-sfcc-version-24-7/index.html.
/the-move-from-on-site-to-remote/,post,keep,/the-move-from-on-site-to-remote/,yes,200,Published keep route verified at the-move-from-on-site-to-remote/index.html.
/the-move-from-on-site-to-remote/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/the-move-from-sitegenesis-and-sfra-to-the-composable-storefront-as-a-developer/,post,keep,/the-move-from-sitegenesis-and-sfra-to-the-composable-storefront-as-a-developer/,yes,200,Published keep route verified at the-move-from-sitegenesis-and-sfra-to-the-composable-storefront-as-a-developer/index.html.
/the-path-to-being-an-architect/,page,keep,/the-path-to-being-an-architect/,yes,200,Published keep route verified at the-path-to-being-an-architect/index.html.
/the-realm-split-field-guide-to-migrating-an-sfcc-site/,post,keep,/the-realm-split-field-guide-to-migrating-an-sfcc-site/,yes,200,Published keep route verified at the-realm-split-field-guide-to-migrating-an-sfcc-site/index.html.
/the-request-body-in-an-sfcc-controller/,post,keep,/the-request-body-in-an-sfcc-controller/,yes,200,Published keep route verified at the-request-body-in-an-sfcc-controller/index.html.
/the-salesforce-b2c-commerce-cloud-environment/,post,keep,/the-salesforce-b2c-commerce-cloud-environment/,yes,200,Published keep route verified at the-salesforce-b2c-commerce-cloud-environment/index.html.
/the-salesforce-b2c-commerce-cloud-environment/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/the-sfcc-guide-to-finding-pod-numbers/,post,keep,/the-sfcc-guide-to-finding-pod-numbers/,yes,200,Published keep route verified at the-sfcc-guide-to-finding-pod-numbers/index.html.
/the-state-of-ohana-for-salesforce-commerce-cloud/,post,keep,/the-state-of-ohana-for-salesforce-commerce-cloud/,yes,200,Published keep route verified at the-state-of-ohana-for-salesforce-commerce-cloud/index.html.
/the-sunsetting-of-arc300-architect-b2c-commerce-solutions/,post,keep,/the-sunsetting-of-arc300-architect-b2c-commerce-solutions/,yes,200,Published keep route verified at the-sunsetting-of-arc300-architect-b2c-commerce-solutions/index.html.
/third-party-api-caching-in-commerce-cloud/,post,keep,/third-party-api-caching-in-commerce-cloud/,yes,200,Published keep route verified at third-party-api-caching-in-commerce-cloud/index.html.
/three-things-to-secure-sfcc/,post,keep,/three-things-to-secure-sfcc/,yes,200,Published keep route verified at three-things-to-secure-sfcc/index.html.
/three-things-to-secure-sfcc/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/trailblazerdx-2022-for-b2c-commerce/,post,keep,/trailblazerdx-2022-for-b2c-commerce/,yes,200,Published keep route verified at trailblazerdx-2022-for-b2c-commerce/index.html.
/understanding-locale-fallback-in-sfcc/,post,keep,/understanding-locale-fallback-in-sfcc/,yes,200,Published keep route verified at understanding-locale-fallback-in-sfcc/index.html.
/understanding-sfcc-instances/,post,keep,/understanding-sfcc-instances/,yes,200,Published keep route verified at understanding-sfcc-instances/index.html.
/unravelling-the-mystery-of-dates-in-the-ocapi/,post,keep,/unravelling-the-mystery-of-dates-in-the-ocapi/,yes,200,Published keep route verified at unravelling-the-mystery-of-dates-in-the-ocapi/index.html.
/versioning-of-content-assets/,page,keep,/versioning-of-content-assets/,yes,200,Published keep route verified at versioning-of-content-assets/index.html.
/video-sitemap.xml,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/video/,page,keep,/video/,yes,200,Published keep route verified at video/index.html.
/video/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/what-can-i-use-chatgpt-for-when-working-with-salesforce/,post,keep,/what-can-i-use-chatgpt-for-when-working-with-salesforce/,yes,200,Published keep route verified at what-can-i-use-chatgpt-for-when-working-with-salesforce/index.html.
/what-does-the-composable-storefront-mean-for-sfcc-developers/,post,keep,/what-does-the-composable-storefront-mean-for-sfcc-developers/,yes,200,Published keep route verified at what-does-the-composable-storefront-mean-for-sfcc-developers/index.html.
/what-is-commerce-on-core/,post,keep,/what-is-commerce-on-core/,yes,200,Published keep route verified at what-is-commerce-on-core/index.html.
/what-is-commerce-on-core/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/what-is-new-in-sfcc-24-6/,post,keep,/what-is-new-in-sfcc-24-6/,yes,200,Published keep route verified at what-is-new-in-sfcc-24-6/index.html.
/what-is-new-in-the-23-8-commerce-cloud-release/,video,keep,/what-is-new-in-the-23-8-commerce-cloud-release/,yes,200,Published keep route verified at what-is-new-in-the-23-8-commerce-cloud-release/index.html.
/what-is-oci-omnichannel-inventory/,post,keep,/what-is-oci-omnichannel-inventory/,yes,200,Published keep route verified at what-is-oci-omnichannel-inventory/index.html.
/what-is-oci-omnichannel-inventory/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/what-is-the-ocapi-session-bridge/,post,keep,/what-is-the-ocapi-session-bridge/,yes,200,Published keep route verified at what-is-the-ocapi-session-bridge/index.html.
/what-is-the-ocapi-session-bridge/feed/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/what-is-the-sfcc-managed-runtime/,post,keep,/what-is-the-sfcc-managed-runtime/,yes,200,Published keep route verified at what-is-the-sfcc-managed-runtime/index.html.
/what-skills-do-i-need-as-a-sfcc-architect/,post,keep,/what-skills-do-i-need-as-a-sfcc-architect/,yes,200,Published keep route verified at what-skills-do-i-need-as-a-sfcc-architect/index.html.
/where-is-the-new-sfcc-documentation/,post,keep,/where-is-the-new-sfcc-documentation/,yes,200,Published keep route verified at where-is-the-new-sfcc-documentation/index.html.
/where-to-hook-into-an-sfra-controller/,post,keep,/where-to-hook-into-an-sfra-controller/,yes,200,Published keep route verified at where-to-hook-into-an-sfra-controller/index.html.
/where-to-start-when-you-are-new-to-salesforce-b2c-commerce-cloud-development/,post,keep,/where-to-start-when-you-are-new-to-salesforce-b2c-commerce-cloud-development/,yes,200,Published keep route verified at where-to-start-when-you-are-new-to-salesforce-b2c-commerce-cloud-development/index.html.
/why-circumventing-sfcc-quota-limits-is-a-bad-idea/,post,keep,/why-circumventing-sfcc-quota-limits-is-a-bad-idea/,yes,200,Published keep route verified at why-circumventing-sfcc-quota-limits-is-a-bad-idea/index.html.
/wp-admin/,system,retire,,yes,404,"Retire route verified: no published artifact, alias, or sitemap entry remains."
/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.min.css?ver=3.35.1,system,retire,,yes,404,"Policy-verified Model A retire route; the underlying path is not published in the production artifact, so the query variant falls through to not-found."
/wp-content/plugins/elementor-pro/assets/css/widget-blockquote.min.css?ver=3.35.1,system,retire,,yes,404,"Policy-verified Model A retire route; the underlying path is not published in the production artifact, so the query variant falls through to not-found."
/wp-content/plugins/elementor-pro/assets/css/widget-code-highlight.min.css?ver=3.35.1,system,retire,,yes,404,"Policy-verified Model A retire route; the underlying path is not published in the production artifact, so the query variant falls through to not-found."
/wp-content/plugins/elementor-pro/assets/css/widget-flip-box.min.css?ver=3.35.1,system,retire,,yes,404,"Policy-verified Model A retire route; the underlying path is not published in the production artifact, so the query variant falls through to not-found."
/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.35.1,system,retire,,yes,404,"Policy-verified Model A retire route; the underlying path is not published in the production artifact, so the query variant falls through to not-found."
/wp-content/plugins/elementor-pro/assets/css/widget-post-info.min.css?ver=3.35.1,system,retire,,yes,404,"Policy-verified Model A retire route; the underlying path is not published in the production artifact, so the query variant falls through to not-found."
/wp-content/plugins/elementor-pro/assets/css/widget-post-navigation.min.css?ver=3.35.1,system,retire,,yes,404,"Policy-verified Model A retire route; the underlying path is not published in the production artifact, so the query variant falls through to not-found."
/wp-content/plugins/elementor-pro/assets/css/widget-posts.min.css?ver=3.35.1,system,retire,,yes,404,"Policy-verified Model A retire route; the underlying path is not published in the production artifact, so the query variant falls through to not-found."
